Channel ID,Channel URL,Channel title
UC-3J5xNrAbTLbU1gN8mMpOA,http://www.youtube.com/channel/UC-3J5xNrAbTLbU1gN8mMpOA,Nitro Rad
UC-9QiiVaViuqMhLp1XEwdxA,http://www.youtube.com/channel/UC-9QiiVaViuqMhLp1XEwdxA,Arlo
UC-lHJZR3Gqxm24_Vd_AJ5Yw,http://www.youtube.com/channel/UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie
UC-nDNn0pKEyOGH5d0_ttqSA,http://www.youtube.com/channel/UC-nDNn0pKEyOGH5d0_ttqSA,pinguefy
UC-vPAVU6cIZFVAQRg3x2rxA,http://www.youtube.com/channel/UC-vPAVU6cIZFVAQRg3x2rxA,MexicanKoolaid
UC0AE_22J0kAo30yjasaeFqw,http://www.youtube.com/channel/UC0AE_22J0kAo30yjasaeFqw,Element Animation
UC1k8WID0Jx_1bsEV30l_NTw,http://www.youtube.com/channel/UC1k8WID0Jx_1bsEV30l_NTw,Luvie
UC1rf511TyJlFICTvOZhHo1w,http://www.youtube.com/channel/UC1rf511TyJlFICTvOZhHo1w,CS Ghost Animation
UC1sELGmy5jp5fQUugmuYlXQ,http://www.youtube.com/channel/UC1sELGmy5jp5fQUugmuYlXQ,Minecraft
UC28FPve5TtZ469khubfiAPw,http://www.youtube.com/channel/UC28FPve5TtZ469khubfiAPw,JC Playz
UC2BFZjJNsoUkn7-x5xo64Mg,http://www.youtube.com/channel/UC2BFZjJNsoUkn7-x5xo64Mg,Made2Express
UC2C_jShtL725hvbm1arSV9w,http://www.youtube.com/channel/UC2C_jShtL725hvbm1arSV9w,CGP Grey
UC2LnS5BYtrjW1Oa1en0Ot4A,http://www.youtube.com/channel/UC2LnS5BYtrjW1Oa1en0Ot4A,SpongeDivers Music
UC32w6uX5qtmUtF4QQQ2PKaQ,http://www.youtube.com/channel/UC32w6uX5qtmUtF4QQQ2PKaQ,Hermitcraft Recap - a show by fans for fans
UC39makWobT29kslQ1RsqfzA,http://www.youtube.com/channel/UC39makWobT29kslQ1RsqfzA,French Baguette Intelligence
UC3HjOlfXBQJO12-YhumbJCg,http://www.youtube.com/channel/UC3HjOlfXBQJO12-YhumbJCg,Aztrosist
UC3Lmytq3AlvcJ-34If_jDyw,http://www.youtube.com/channel/UC3Lmytq3AlvcJ-34If_jDyw,Jehtt
UC3OMq2bCEGpWHo7MO3PHCLA,http://www.youtube.com/channel/UC3OMq2bCEGpWHo7MO3PHCLA,MJacobBarker
UC3iNdSV_RQU7DHTGpqEW96w,http://www.youtube.com/channel/UC3iNdSV_RQU7DHTGpqEW96w,Andrei Terbea
UC3ltptWa0xfrDweghW94Acg,http://www.youtube.com/channel/UC3ltptWa0xfrDweghW94Acg,Karl Jobst
UC4b4zQS94H6GLIJ_WIW2_GQ,http://www.youtube.com/channel/UC4b4zQS94H6GLIJ_WIW2_GQ,EyeRants
UC4rqhyiTs7XyuODcECvuiiQ,http://www.youtube.com/channel/UC4rqhyiTs7XyuODcECvuiiQ,Scott The Woz
UC5wZGwqyPawfmzpve8aJ-hw,http://www.youtube.com/channel/UC5wZGwqyPawfmzpve8aJ-hw,Geopold
UC70FuIJYoj0bWlUO8iZ701g,http://www.youtube.com/channel/UC70FuIJYoj0bWlUO8iZ701g,Cyber's Hell
UC7Jwj9fkrf1adN4fMmTkpug,http://www.youtube.com/channel/UC7Jwj9fkrf1adN4fMmTkpug,DankPods
UC7Ucs42FZy3uYzjrqzOIHsw,http://www.youtube.com/channel/UC7Ucs42FZy3uYzjrqzOIHsw,EmpLemon
UC7YOGHUfC1Tb6E4pudI9STA,http://www.youtube.com/channel/UC7YOGHUfC1Tb6E4pudI9STA,Mental Outlaw
UC8NutWy9051DJyvJ1ryPDCQ,http://www.youtube.com/channel/UC8NutWy9051DJyvJ1ryPDCQ,ExoParadigmGamer
UC8XU8oVYRbU2Lifpeb8eUfg,http://www.youtube.com/channel/UC8XU8oVYRbU2Lifpeb8eUfg,GioFilms
UC9INTEXZcjTIEHc_L4BZWww,http://www.youtube.com/channel/UC9INTEXZcjTIEHc_L4BZWww,CordWit
UC9PBzalIcEQCsiIkq36PyUA,http://www.youtube.com/channel/UC9PBzalIcEQCsiIkq36PyUA,Digital Foundry
UCAebQubO4U1HQaR-rwsqUhA,http://www.youtube.com/channel/UCAebQubO4U1HQaR-rwsqUhA,Bowblax
UCAtYkwdhJ5o32z7gS-ef5vg,http://www.youtube.com/channel/UCAtYkwdhJ5o32z7gS-ef5vg,TommyNFG
UCBZiUUYeLfS5rIj4TQvgSvA,http://www.youtube.com/channel/UCBZiUUYeLfS5rIj4TQvgSvA,Channel Super Fun
UCBa659QWEk1AI4Tg--mrJ2A,http://www.youtube.com/channel/UCBa659QWEk1AI4Tg--mrJ2A,Tom Scott
UCCNFCLWh1AA-qbyOyp8jlZg,http://www.youtube.com/channel/UCCNFCLWh1AA-qbyOyp8jlZg,BritMonkey
UCCStmsSWn-yO78KW2xxyfZw,http://www.youtube.com/channel/UCCStmsSWn-yO78KW2xxyfZw,Sobog
UCDETFHKteb-C_EaXmRKvP4w,http://www.youtube.com/channel/UCDETFHKteb-C_EaXmRKvP4w,Sisyphus 55
UCDFoU3W0zj7e0zmQ3SwIpjQ,http://www.youtube.com/channel/UCDFoU3W0zj7e0zmQ3SwIpjQ,tagtart
UCDKJdFer1phQI95UinPZehw,http://www.youtube.com/channel/UCDKJdFer1phQI95UinPZehw,Turkey Tom
UCE4Gn00XZbpWvGUfIslT-tA,http://www.youtube.com/channel/UCE4Gn00XZbpWvGUfIslT-tA,MagnatesMedia
UCEbk5b9N6IkWbBmeKJb4x2w,http://www.youtube.com/channel/UCEbk5b9N6IkWbBmeKJb4x2w,Noah Kalina
UCEr8Pe0zrHXuW7PuwbxftIQ,http://www.youtube.com/channel/UCEr8Pe0zrHXuW7PuwbxftIQ,kinotalkkino
UCFAiFyGs6oDiF1Nf-rRJpZA,http://www.youtube.com/channel/UCFAiFyGs6oDiF1Nf-rRJpZA,Technoblade
UCGSGPehp0RWfca-kENgBJ9Q,http://www.youtube.com/channel/UCGSGPehp0RWfca-kENgBJ9Q,jREG
UCGwu0nbY2wSkW8N-cghnLpA,http://www.youtube.com/channel/UCGwu0nbY2wSkW8N-cghnLpA,Jaiden Animations
UCI4Ppudb5EGHNpIYQPVpKdw,http://www.youtube.com/channel/UCI4Ppudb5EGHNpIYQPVpKdw,SimplySarc
UCIWEHR8n8GiLMWY8v7IP0Gg,http://www.youtube.com/channel/UCIWEHR8n8GiLMWY8v7IP0Gg,Mikasacus
UCJ6z_yj_dDNrhn-c8ZyKV4g,http://www.youtube.com/channel/UCJ6z_yj_dDNrhn-c8ZyKV4g,TheGamerFromMars
UCJVnko6tQ56PYB5BNNChPGg,http://www.youtube.com/channel/UCJVnko6tQ56PYB5BNNChPGg,ibx2cat
UCJgMyy20eSaQClT40dVFwsA,http://www.youtube.com/channel/UCJgMyy20eSaQClT40dVFwsA,Legend57 Rap Battles
UCJiFgnnYpwlnadzTzhMnX_Q,http://www.youtube.com/channel/UCJiFgnnYpwlnadzTzhMnX_Q,TheMisterEpic
UCJy232tY_LUd1NuBgsSNUEA,http://www.youtube.com/channel/UCJy232tY_LUd1NuBgsSNUEA,Sir Swag
UCK376qNDlNZZDNHsnaWuTeg,http://www.youtube.com/channel/UCK376qNDlNZZDNHsnaWuTeg,AntVenom
UCKUnB5P0cdfnufPCKkGecqQ,http://www.youtube.com/channel/UCKUnB5P0cdfnufPCKkGecqQ,ParashockX
UCLtnLkDf4nsXIIcr8orHUHA,http://www.youtube.com/channel/UCLtnLkDf4nsXIIcr8orHUHA,Ghost Gum
UCMr1lqB1oN3-cYf6cj6-v-A,http://www.youtube.com/channel/UCMr1lqB1oN3-cYf6cj6-v-A,Degenerocity
UCMu5gPmKp5av0QCAajKTMhw,http://www.youtube.com/channel/UCMu5gPmKp5av0QCAajKTMhw,ERB
UCN5xN8gIljvWYnsj06V8WbQ,http://www.youtube.com/channel/UCN5xN8gIljvWYnsj06V8WbQ,Pyrocynical
UCNElM45JypxqAR73RoUQ10g,http://www.youtube.com/channel/UCNElM45JypxqAR73RoUQ10g,稲葉曇
UCNMyoMaXJZITZaRKCz7G23Q,http://www.youtube.com/channel/UCNMyoMaXJZITZaRKCz7G23Q,Peter Knetter
UCOujgO5S-Zn8DqpFrvzeIqA,http://www.youtube.com/channel/UCOujgO5S-Zn8DqpFrvzeIqA,wow_mao
UCOwqFsAgRZz33BRqqgjIIFw,http://www.youtube.com/channel/UCOwqFsAgRZz33BRqqgjIIFw,JFK is my Dad
UCPcFg7aBbaVzXoIKSNqwaww,http://www.youtube.com/channel/UCPcFg7aBbaVzXoIKSNqwaww,jacksfilms
UCQMyhrt92_8XM0KgZH6VnRg,http://www.youtube.com/channel/UCQMyhrt92_8XM0KgZH6VnRg,Company Man
UCQkd05iAYed2-LOmhjzDG6g,http://www.youtube.com/channel/UCQkd05iAYed2-LOmhjzDG6g,LowSpecGamer
UCR9Gcq0CMm6YgTzsDxAxjOQ,http://www.youtube.com/channel/UCR9Gcq0CMm6YgTzsDxAxjOQ,Grian
UCRaPWn28j7_QaWkhR-n14Qw,http://www.youtube.com/channel/UCRaPWn28j7_QaWkhR-n14Qw,zydezu
UCRfBCZr1oTBVyY83IgeYeWw,http://www.youtube.com/channel/UCRfBCZr1oTBVyY83IgeYeWw,GameMaster
UCS5Oz6CHmeoF7vSad0qqXfw,http://www.youtube.com/channel/UCS5Oz6CHmeoF7vSad0qqXfw,DanTDM
UCSP2KdysMu9MyzxRjXEGv_g,http://www.youtube.com/channel/UCSP2KdysMu9MyzxRjXEGv_g,SilokHawk
UCSdma21fnJzgmPodhC9SJ3g,http://www.youtube.com/channel/UCSdma21fnJzgmPodhC9SJ3g,NakeyJakey
UCT6iAerLNE-0J1S_E97UAuQ,http://www.youtube.com/channel/UCT6iAerLNE-0J1S_E97UAuQ,YongYea
UCTDWASrT-T6wMBcZU4IXCKQ,http://www.youtube.com/channel/UCTDWASrT-T6wMBcZU4IXCKQ,The Cursed Judge
UCTmWWmACL2SJOe3kxBQMFYA,http://www.youtube.com/channel/UCTmWWmACL2SJOe3kxBQMFYA,ノコチップ
UCU9pX8hKcrx06XfOB-VQLdw,http://www.youtube.com/channel/UCU9pX8hKcrx06XfOB-VQLdw,xisumavoid
UCUWhqBJfvkZogLBxFttN4_g,http://www.youtube.com/channel/UCUWhqBJfvkZogLBxFttN4_g,Omni
UCUxzwCjOUhswNDsLA5ux0IQ,http://www.youtube.com/channel/UCUxzwCjOUhswNDsLA5ux0IQ,silentwisperer
UCW6xlqxSY3gGur4PkGPEUeA,http://www.youtube.com/channel/UCW6xlqxSY3gGur4PkGPEUeA,Seytonic
UCXfblbnE4YDxlJ95OG1IqdA,http://www.youtube.com/channel/UCXfblbnE4YDxlJ95OG1IqdA,kiro talks
UCXhT0cnAVlZ2htMuG5vg4fw,http://www.youtube.com/channel/UCXhT0cnAVlZ2htMuG5vg4fw,Sunnexo
UCXuqSBlHAE6Xw-yeJA0Tunw,http://www.youtube.com/channel/UCXuqSBlHAE6Xw-yeJA0Tunw,Linus Tech Tips
UCYGDiVemmhY_Q1M-hKp4fvw,http://www.youtube.com/channel/UCYGDiVemmhY_Q1M-hKp4fvw,big boss
UCZKyj7wDE51SMbkrRBT6SdA,http://www.youtube.com/channel/UCZKyj7wDE51SMbkrRBT6SdA,Nerrel
UCZOnoLKzoBItcEk5OsES2TA,http://www.youtube.com/channel/UCZOnoLKzoBItcEk5OsES2TA,Don't Hug Me .I'm Scared
UC_topGGwb3s2gU3xXhYfILw,http://www.youtube.com/channel/UC_topGGwb3s2gU3xXhYfILw,KneeCaps
UCa94pyq0HNK8qAFUBJiVAeA,http://www.youtube.com/channel/UCa94pyq0HNK8qAFUBJiVAeA,DanTDM Live
UCaBlLU9t7P44Q5UJdoj8M3Q,http://www.youtube.com/channel/UCaBlLU9t7P44Q5UJdoj8M3Q,bob
UCaHs-DNd2wz55plJZDfUqug,http://www.youtube.com/channel/UCaHs-DNd2wz55plJZDfUqug,Vampire Robot
UCaPGKhms7rUVjpBceeJUdUQ,http://www.youtube.com/channel/UCaPGKhms7rUVjpBceeJUdUQ,Diamondbolt
UCawsI_mlmPA7Cfld-qZhBQA,http://www.youtube.com/channel/UCawsI_mlmPA7Cfld-qZhBQA,griffpatch
UCb0MyY46T9ZYOzDHkYnIoXg,http://www.youtube.com/channel/UCb0MyY46T9ZYOzDHkYnIoXg,Plainly Difficult
UCbbQalJ4OaC0oQ0AqRaOJ9g,http://www.youtube.com/channel/UCbbQalJ4OaC0oQ0AqRaOJ9g,Jay Foreman
UCbvjXcT9ojfSrA8QrOKeY_w,http://www.youtube.com/channel/UCbvjXcT9ojfSrA8QrOKeY_w,Stryxo
UCcIe-_Hqzb3mAZyKEy1amDw,http://www.youtube.com/channel/UCcIe-_Hqzb3mAZyKEy1amDw,A+Start
UCcvfHa-GHSOHFAjU0-Ie57A,http://www.youtube.com/channel/UCcvfHa-GHSOHFAjU0-Ie57A,Adam Something
UCdY7cc_p2GZi1YxLvZ-F8jA,http://www.youtube.com/channel/UCdY7cc_p2GZi1YxLvZ-F8jA,Borb
UCdaaK3anQiskiBLrfLyg4vw,http://www.youtube.com/channel/UCdaaK3anQiskiBLrfLyg4vw,Minecraft Ideas Academy
UCdc_JyNaB5VJ0gdWUtWfGDg,http://www.youtube.com/channel/UCdc_JyNaB5VJ0gdWUtWfGDg,PyroLIVE
UCe8WzEkn7_e6Bg48sZODGkw,http://www.youtube.com/channel/UCe8WzEkn7_e6Bg48sZODGkw,磁鬼頻率
UCeeFfhMcJa1kjtfZAGskOCA,http://www.youtube.com/channel/UCeeFfhMcJa1kjtfZAGskOCA,TechLinked
UCfHmyqCntYHQ81ZukNu66rg,http://www.youtube.com/channel/UCfHmyqCntYHQ81ZukNu66rg,Razbuten
UCfKNHSWLE3CSs9PXK5RdQCA,http://www.youtube.com/channel/UCfKNHSWLE3CSs9PXK5RdQCA,Gearknob
UCfNRr5dPpJhx6zzm6cbNRdw,http://www.youtube.com/channel/UCfNRr5dPpJhx6zzm6cbNRdw,ibz
